Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,EventName,SessionName,EventFormat,RoundNumber
0 days 01:07:26.140000,27.2,32.3,1018.7,False,43.6,286,2.4,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:08:26.264000,27.2,32.0,1018.7,False,43.9,334,2.7,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:09:26.037000,27.0,32.8,1018.7,False,44.2,358,1.8,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:10:25.867000,27.0,32.9,1018.6,False,44.2,343,2.1,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:11:25.883000,27.0,33.3,1018.7,False,43.9,320,2.8,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:12:25.901000,27.0,33.3,1018.7,False,43.9,320,2.8,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:13:25.918000,27.0,32.3,1018.7,False,43.9,330,1.9,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:14:25.942000,27.1,33.1,1018.7,False,44.0,312,0.8,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:15:25.952000,27.5,32.3,1018.6,False,44.8,335,0.9,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:16:25.967000,27.5,32.3,1018.6,False,44.8,335,0.9,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:17:25.985000,27.6,32.0,1018.6,False,45.1,0,1.4,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:18:26.001000,27.3,32.3,1018.6,False,44.6,329,1.4,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:19:26.017000,27.2,32.9,1018.6,False,44.6,330,2.3,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:20:26.033000,27.0,32.9,1018.6,False,44.5,313,2.1,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:21:26.139000,27.0,32.4,1018.5,False,44.4,309,2.0,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:22:26.068000,27.0,32.4,1018.5,False,44.4,309,2.0,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:23:26.084000,27.1,33.2,1018.5,False,44.6,327,2.0,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:24:26.102000,27.1,33.2,1018.5,False,44.6,327,2.0,2018,Australian Grand Prix,FP1,conventional,1
